Track_Name,Track Duration (ms),Popularity,Danceability,Energy,Loudness,Tempo,Acousticness,Speechiness,Instrumentalness,Liveness,Valence
Sunsetz,215150,83,0.41,0.48,-9.417,75.303,0.0561,0.0294,0.814,0.0972,0.129
Who,170887,87,0.66,0.757,-3.743,116.034,0.00289,0.0321,0.0,0.193,0.838
Bye Bye Bye - From Deadpool and Wolverine Soundtrack,200400,85,0.61,0.926,-4.843,172.638,0.031,0.0479,0.0012,0.0821,0.861
As It Was,167303,87,0.52,0.731,-5.338,173.93,0.342,0.0557,0.00101,0.311,0.662
The Hills,242253,84,0.585,0.564,-7.063,113.003,0.0671,0.0515,0.0,0.135,0.137
When I Was Your Man,213826,87,0.612,0.28,-8.648,72.795,0.932,0.0434,0.0,0.088,0.387
Cry,256799,84,0.408,0.398,-10.448,142.834,0.758,0.0277,0.654,0.112,0.165
lovely (with Khalid),200185,86,0.351,0.296,-10.109,115.284,0.934,0.0333,0.0,0.095,0.12
Flowers,200600,87,0.706,0.691,-4.775,118.048,0.0584,0.0633,6.99e-05,0.0232,0.632
Who,170887,87,0.66,0.757,-3.743,116.034,0.00289,0.0321,0.0,0.193,0.838
Starboy,230453,87,0.679,0.587,-7.015,186.003,0.141,0.276,6.35e-06,0.137,0.486
You Get Me So High,153000,81,0.551,0.881,-6.099,88.036,0.186,0.0542,0.0791,0.152,0.387
august,261922,83,0.532,0.623,-9.208,89.937,0.538,0.0331,7.28e-05,0.0925,0.403
THE GREATEST,293840,82,0.407,0.192,-10.99,128.173,0.637,0.0368,3.33e-06,0.21,0.159
Rock and A Hard Place,207540,77,0.582,0.568,-7.3,121.991,0.577,0.0275,0.0,0.105,0.394
Tennessee Orange,223119,76,0.38,0.488,-6.637,156.031,0.126,0.029,7.23e-06,0.115,0.268
Touch,129882,85,0.739,0.904,-2.655,167.033,0.549,0.0442,1.03e-05,0.0948,0.788
Shut Up and Dance,199080,84,0.578,0.866,-3.804,128.038,0.00701,0.0619,0.0,0.257,0.619
No Scrubs,214400,81,0.743,0.675,-4.267,92.909,0.0251,0.0953,0.000717,0.0685,0.59
Something About You,153312,81,0.648,0.781,-8.736,133.417,0.0332,0.0271,0.013,0.305,0.822
Space Song,320466,75,0.508,0.792,-7.311,147.067,0.229,0.0297,0.124,0.145,0.601
vampire,219724,83,0.484,0.53,-5.821,136.848,0.154,0.0538,0.0,0.263,0.323
misses,74378,80,0.578,0.509,-6.229,119.945,0.13,0.0279,0.734,0.344,0.586
Heat Waves,238805,84,0.761,0.525,-6.9,80.87,0.44,0.0944,6.7e-06,0.0921,0.531
when the party's over,196077,83,0.367,0.111,-14.084,82.642,0.978,0.0972,3.97e-05,0.0897,0.198
Promiscuous,242293,82,0.808,0.97,-6.098,114.328,0.0573,0.0504,6.17e-05,0.154,0.868
Lovin On Me,138411,80,0.943,0.558,-4.911,104.983,0.0026,0.0568,2.19e-06,0.0937,0.606
Softcore,206280,84,0.575,0.568,-5.509,93.986,0.0484,0.03,0.000417,0.286,0.37
Good Looking,214800,81,0.365,0.554,-9.076,150.11,0.079,0.03,0.000358,0.125,0.259
Ophelia,160097,80,0.664,0.573,-6.519,76.023,0.613,0.0277,0.000363,0.0857,0.566
Something Just Like This,247160,86,0.617,0.635,-6.769,103.019,0.0498,0.0317,1.44e-05,0.164,0.446
L’AMOUR DE MA VIE,333986,82,0.467,0.392,-9.355,145.104,0.2,0.0908,0.0174,0.106,0.313
Party In The U.S.A.,202066,74,0.652,0.698,-4.667,96.021,0.00112,0.042,0.000115,0.0886,0.47
Holy Smokes,195157,75,0.462,0.569,-7.908,95.117,0.509,0.0321,0.0,0.12,0.432
BLUE,343120,82,0.349,0.337,-10.671,142.01,0.29,0.0407,0.172,0.139,0.0365
Don’t Blame Me,236413,82,0.615,0.534,-6.719,135.917,0.106,0.0386,1.76e-05,0.0607,0.193
the perfect pair,177533,79,0.634,0.663,-6.818,146.053,0.433,0.0331,0.124,0.102,0.6
Misery Business,211520,74,0.517,0.906,-3.677,172.977,0.00272,0.0735,9.26e-06,0.113,0.731
Broadway Girls (feat. Morgan Wallen),185600,75,0.659,0.745,-3.599,74.967,0.0417,0.0347,0.0,0.296,0.54
Worst Way,220558,75,0.366,0.492,-7.9,197.768,0.0899,0.0324,0.000994,0.132,0.349
Better in the Dark,155500,78,0.678,0.64,-7.486,90.058,0.283,0.0268,0.00067,0.682,0.701
Lover,221306,84,0.359,0.543,-7.582,68.534,0.492,0.0919,1.58e-05,0.118,0.453
Naked In Manhattan,211057,77,0.771,0.704,-5.098,118.01,0.0835,0.0315,0.0,0.0935,0.55
Romantic Lover,86739,79,0.658,0.447,-9.299,184.316,0.701,0.0869,0.924,0.198,0.538
Time of Our Lives,229360,82,0.721,0.802,-5.797,124.022,0.0921,0.0583,0.0,0.694,0.724
All The Small Things,167066,81,0.434,0.897,-4.918,148.708,0.0103,0.0488,0.0,0.612,0.685
"Hey, Soul Sister",216773,83,0.673,0.886,-4.44,97.012,0.185,0.0431,0.0,0.0826,0.795
K.,320030,82,0.454,0.401,-10.251,93.703,0.14,0.0264,0.837,0.136,0.319
Drops of Jupiter (Tell Me),259933,80,0.481,0.638,-5.862,79.064,0.153,0.0276,0.0,0.154,0.497
Die For You,260253,84,0.586,0.525,-7.163,133.629,0.111,0.0615,0.0,0.134,0.508
Jessie's Girl,194120,73,0.727,0.834,-5.851,131.7,0.165,0.0496,0.0,0.105,0.816
Maneater,258893,81,0.796,0.778,-4.81,132.724,0.0258,0.0397,0.000386,0.121,0.789
Sunflower - Spider-Man: Into the Spider-Verse,157560,81,0.755,0.522,-4.368,89.96,0.533,0.0575,0.0,0.0685,0.925
Stargirl Interlude,111626,82,0.715,0.47,-12.638,89.965,0.353,0.0772,0.0923,0.104,0.426
cardigan,239560,83,0.613,0.581,-8.588,130.033,0.537,0.0424,0.000345,0.25,0.551
Sunroof,163025,82,0.768,0.714,-5.11,131.443,0.352,0.0401,0.0,0.15,0.842
Reflections,244013,83,0.648,0.594,-7.027,113.983,0.114,0.0293,0.0462,0.116,0.544
The Way I Are,179120,82,0.729,0.807,-6.492,114.742,0.181,0.0936,0.75,0.319,0.765
Super Graphic Ultra Modern Girl,183888,78,0.646,0.905,-4.526,125.891,0.0321,0.0695,7.93e-06,0.23,0.787
welcome and goodbye,140643,80,0.584,0.717,-5.175,140.031,0.0194,0.0266,0.756,0.0739,0.659
TiK ToK,199693,83,0.755,0.837,-2.718,120.028,0.0991,0.142,0.0,0.289,0.714
Someone You Loved,182160,85,0.501,0.405,-5.679,109.891,0.751,0.0319,0.0,0.105,0.446
Unforgettable,233901,84,0.726,0.769,-5.043,97.985,0.0293,0.123,0.0101,0.104,0.733
All I Want for Christmas Is You,241106,81,0.336,0.627,-7.463,150.273,0.164,0.0384,0.0,0.0708,0.35
TV,281380,81,0.412,0.236,-15.159,140.214,0.83,0.0379,0.00653,0.147,0.119
ceilings,182887,80,0.516,0.322,-11.762,148.005,0.473,0.0292,0.00194,0.215,0.261
Passionfruit,298940,80,0.809,0.463,-11.377,111.98,0.256,0.0396,0.085,0.109,0.364
Lonely Road (with Jelly Roll),189356,78,0.549,0.679,-5.501,100.214,0.0103,0.0346,0.0,0.365,0.235
run for the hills,143940,79,0.543,0.857,-3.341,129.918,0.502,0.0945,0.0,0.119,0.321
Sweet Dreams (Are Made of This) - 2005 Remaster,216933,83,0.692,0.711,-7.498,125.135,0.225,0.0317,0.0,0.12,0.875
Show Me How,215110,79,0.791,0.271,-11.959,166.002,0.672,0.0431,0.543,0.102,0.564
Pretty Little Poison,218260,75,0.494,0.567,-4.156,112.011,0.0235,0.0334,2.4e-06,0.146,0.22
"You're Gonna Go Far, Kid",177826,80,0.55,0.917,-3.159,126.115,0.00428,0.0638,0.0,0.197,0.601
Disturbia,238626,79,0.707,0.814,-4.509,124.921,0.0861,0.0577,0.0,0.168,0.717
Toxic,198800,83,0.774,0.838,-3.914,143.04,0.0249,0.114,0.025,0.242,0.924
Am I Okay?,235002,75,0.593,0.734,-5.416,125.937,0.02,0.0514,0.0,0.138,0.518
Guy For That (Feat. Luke Combs),164011,78,0.611,0.911,-4.106,119.986,0.0061,0.0647,0.0,0.135,0.495
telepatía,160191,81,0.653,0.524,-9.016,83.97,0.112,0.0502,0.0,0.203,0.553
I Know You,251666,76,0.454,0.385,-12.849,154.918,0.287,0.0313,9.97e-05,0.0616,0.144
Lie To Girls,202001,78,0.661,0.414,-9.073,119.921,0.464,0.0404,0.0,0.37,0.224
What Makes You Beautiful,199986,85,0.726,0.787,-2.494,124.99,0.009,0.0737,0.0,0.0596,0.888
Maps,189960,82,0.742,0.713,-5.522,120.032,0.0205,0.0303,0.0,0.059,0.879
Give Me Everything (feat. Nayer),252306,84,0.671,0.939,-3.206,129.024,0.191,0.161,0.0,0.298,0.53
Would That I,268293,74,0.521,0.526,-6.032,130.694,0.243,0.0281,0.00537,0.108,0.502
After Midnight,204857,77,0.708,0.891,-3.826,110.058,0.0248,0.0777,0.0,0.0578,0.84
Straight and Narrow,199874,76,0.427,0.278,-8.83,85.633,0.47,0.0331,2.22e-05,0.135,0.374
Bags,260519,78,0.742,0.546,-7.694,104.996,0.172,0.0315,0.38,0.115,0.868
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",207454,78,0.702,0.659,-6.766,79.64,0.301,0.13,0.00201,0.218,0.843
Please Don't Go,181498,74,0.679,0.551,-7.453,85.377,0.392,0.057,5.69e-05,0.0845,0.49
Closer,244960,84,0.748,0.524,-5.599,95.01,0.414,0.0338,0.0,0.111,0.661
Needed Me,191600,80,0.697,0.315,-8.091,110.872,0.11,0.234,0.0,0.0825,0.298
Circadian Rhythm,126356,79,0.694,0.574,-6.144,146.007,0.193,0.0483,0.0,0.082,0.286
the boy is mine,173639,82,0.795,0.63,-5.854,97.998,0.157,0.0434,0.0,0.0732,0.447
Budapest,200733,81,0.717,0.455,-8.303,127.812,0.0846,0.0276,0.0,0.11,0.389
because i liked a boy,196458,80,0.386,0.592,-7.299,146.879,0.363,0.374,0.0,0.117,0.161
Poker Face,237200,76,0.851,0.806,-4.618,119.001,0.119,0.0787,1.72e-06,0.121,0.774
Timber,204160,82,0.581,0.963,-4.087,129.992,0.0295,0.0981,0.0,0.139,0.788
Classic,175426,80,0.72,0.791,-4.689,102.071,0.0384,0.124,0.0,0.157,0.756
Last Friday Night (T.G.I.F.),230733,74,0.652,0.81,-3.789,126.022,0.00129,0.0406,2.91e-05,0.667,0.732
Zombie,306440,82,0.309,0.649,-8.994,166.915,0.0158,0.035,0.00591,0.367,0.312
Here With Me,242484,83,0.575,0.45,-9.306,132.039,0.531,0.0259,6.59e-05,0.124,0.263
Good Days,278480,78,0.461,0.651,-8.81,121.07,0.418,0.0568,1.26e-05,0.782,0.383
DJ Got Us Fallin' In Love (feat. Pitbull),220800,81,0.663,0.861,-3.398,119.963,0.0338,0.109,0.0,0.082,0.654
anything,202047,77,0.388,0.291,-12.952,83.943,0.774,0.0421,1.93e-05,0.0874,0.51
Moonlit Floor (Kiss Me),155757,90,0.733,0.786,-3.951,109.954,0.128,0.112,0.0,0.31,0.672
Heather,198040,83,0.357,0.425,-7.301,102.078,0.584,0.0333,0.0,0.322,0.27
you broke me first,170226,82,0.66,0.379,-9.357,124.027,0.798,0.0543,0.0,0.0913,0.0762
Thick Of It (feat. Trippie Redd),160842,80,0.588,0.826,-3.733,145.825,0.0768,0.0485,0.0,0.327,0.648
Someone New,222813,74,0.443,0.533,-5.956,183.791,0.429,0.0473,3.66e-06,0.332,0.596
My Own Worst Enemy,169026,74,0.494,0.946,-2.757,103.408,0.00129,0.0637,0.0,0.398,0.741
No Face,137142,78,0.853,0.69,-5.858,125.951,0.0771,0.0647,0.0,0.0835,0.471
Almost (Sweet Music),217480,74,0.523,0.687,-5.601,90.036,0.0215,0.105,2.86e-06,0.203,0.711
Headlines,235986,76,0.636,0.566,-7.16,151.894,0.365,0.106,0.000353,0.0917,0.425
Jimmy Cooks (feat. 21 Savage),218364,79,0.529,0.673,-4.711,165.921,0.000307,0.175,2.41e-06,0.093,0.366
Anti-Hero,200690,81,0.633,0.648,-6.645,96.888,0.121,0.062,2.62e-06,0.161,0.49
Dancing In The Flames,220036,84,0.552,0.73,-6.203,116.875,0.0011,0.0381,0.0,0.0837,0.162
Love On The Brain,224000,82,0.509,0.637,-4.83,172.007,0.0717,0.047,1.08e-05,0.0789,0.379
"Spooky, Scary Skeletons - Undead Tombstone Remix",125624,76,0.772,0.788,-5.414,127.91,0.0027,0.0619,0.000583,0.353,0.574
Love Galore (feat. Travis Scott),275080,76,0.795,0.594,-6.2,135.002,0.112,0.0748,0.0,0.162,0.409
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),227960,76,0.693,0.549,-8.141,80.028,0.0109,0.119,0.0,0.0677,0.605
From the Subway Train,57370,78,0.392,0.429,-10.279,72.104,0.527,0.0462,0.015,0.217,0.105
No Hands (feat. Roscoe Dash & Wale),263773,74,0.76,0.595,-6.366,131.497,0.00544,0.0391,0.0,0.241,0.361
Heathens,195920,82,0.732,0.396,-9.348,90.024,0.0841,0.0286,3.58e-05,0.105,0.548
Hips Don't Lie (feat. Wyclef Jean),218093,84,0.778,0.824,-5.892,100.024,0.284,0.0707,0.0,0.405,0.758
Take on Me,225280,84,0.573,0.902,-7.638,84.412,0.018,0.054,0.00125,0.0928,0.876
Religiously,178723,74,0.57,0.67,-6.519,140.924,0.426,0.0274,0.0,0.108,0.593
Believer,204346,85,0.776,0.78,-4.374,124.949,0.0622,0.128,0.0,0.081,0.666
deja vu,215506,83,0.442,0.612,-7.222,180.917,0.584,0.112,5.7e-06,0.37,0.178
Grenade,222091,76,0.704,0.558,-7.273,110.444,0.148,0.0542,0.0,0.107,0.245
Mrs Magic,208500,78,0.471,0.634,-7.406,132.542,0.159,0.031,0.365,0.374,0.366
Big Black Car,217466,76,0.6,0.186,-15.926,110.044,0.909,0.0317,0.00102,0.104,0.468
Young And Beautiful,236053,83,0.324,0.416,-8.92,113.986,0.262,0.0368,3.69e-05,0.11,0.151
Need A Favor,197400,74,0.502,0.771,-4.246,157.978,0.0123,0.032,1.82e-05,0.0801,0.557
Ho Hey,163133,80,0.685,0.466,-9.074,79.936,0.791,0.0304,2.06e-06,0.0914,0.353
Kingston,202653,75,0.73,0.355,-9.13,142.143,0.154,0.0359,0.00155,0.117,0.56
good 4 u,178146,81,0.563,0.664,-5.044,166.928,0.335,0.154,0.0,0.0849,0.688
Young Dumb & Broke,202546,79,0.799,0.539,-6.351,136.948,0.199,0.0421,1.66e-05,0.165,0.394
Always Forever,223746,79,0.174,0.742,-5.93,163.378,0.00181,0.0485,0.281,0.198,0.36
Still into You,216013,79,0.602,0.923,-3.763,136.01,0.0098,0.044,0.0,0.0561,0.765
Island In The Sun,200306,77,0.654,0.81,-6.26,114.622,0.00719,0.0288,0.00251,0.165,0.661
Rock Your Body,267266,78,0.892,0.714,-6.055,100.972,0.201,0.141,0.000234,0.0521,0.817
YKWIM?,212750,78,0.372,0.537,-7.623,123.735,0.937,0.0305,0.873,0.287,0.228
Ribs,258969,77,0.525,0.472,-9.277,127.945,0.534,0.0739,0.614,0.11,0.0424
Glue Song,135066,78,0.62,0.409,-10.146,113.946,0.77,0.0282,0.0542,0.105,0.582
Love,255333,79,0.688,0.518,-4.285,116.714,0.0642,0.0283,0.0,0.1,0.314
Dandelions,233720,85,0.609,0.692,-2.958,116.959,0.0157,0.0259,0.0,0.0864,0.454
Surround Sound (feat. 21 Savage & Baby Tate),229938,78,0.574,0.567,-7.126,75.965,0.164,0.465,0.0,0.258,0.526
Just Like Johnny,199392,74,0.589,0.625,-5.302,125.997,0.0268,0.0405,1.51e-05,0.124,0.143
Standing Next to You,206019,89,0.711,0.809,-4.389,106.017,0.0447,0.0955,0.0,0.339,0.816
Northern Attitude,267256,75,0.523,0.626,-8.214,121.291,0.119,0.047,3.29e-05,0.107,0.323
How to Save a Life,262533,80,0.64,0.743,-4.08,122.035,0.269,0.0379,0.0,0.101,0.361
Happier Than Ever,298899,81,0.332,0.225,-8.697,81.055,0.767,0.0348,0.00349,0.128,0.297
Taste,157279,81,0.67,0.91,-4.07,112.966,0.0939,0.0634,0.0,0.304,0.786
Maine,232618,74,0.533,0.24,-9.512,175.486,0.729,0.0424,0.0,0.223,0.265
Stressed Out,202333,83,0.734,0.637,-5.677,169.977,0.0462,0.141,2.29e-05,0.0602,0.648
