Track_Name,Track Duration (ms),Popularity,Danceability,Energy,Loudness,Tempo,Acousticness,Speechiness,Instrumentalness,Liveness,Valence
Hold Me Down,231267,76,0.463,0.427,-9.799,116.059,0.628,0.0549,0.000565,0.0911,0.231
Velvet Ring - 2023 Remaster,155938,74,0.318,0.401,-11.944,138.528,0.436,0.0337,0.00564,0.151,0.277
Japanese Denim,270846,76,0.707,0.238,-8.818,124.156,0.0905,0.0379,2.42e-06,0.0842,0.345
Running Up That Hill (A Deal With God),298933,79,0.629,0.545,-13.123,108.376,0.719,0.0546,0.00308,0.0604,0.194
Trust,158420,75,0.764,0.394,-8.559,92.009,0.231,0.152,9.37e-05,0.117,0.465
The Party & The After Party,459659,74,0.645,0.58,-9.527,101.733,0.22,0.0406,0.0,0.0878,0.163
Adorn,193146,70,0.625,0.576,-5.693,179.063,0.0543,0.175,4.07e-05,0.187,0.235
Stay Ready (What A Life),382760,75,0.347,0.493,-11.548,82.887,0.455,0.29,0.00366,0.127,0.308
Make No Sense,148629,73,0.876,0.733,-4.478,154.904,0.0208,0.333,0.0,0.0999,0.962
Bartender (feat. Akon),238800,75,0.832,0.391,-8.504,104.961,0.0564,0.0628,0.0,0.224,0.436
La Grange (2005 Remaster),230480,78,0.509,0.641,-9.936,161.74,0.00249,0.264,0.0304,0.196,0.612
2 On (feat. ScHoolboy Q),227000,78,0.742,0.595,-7.51,101.013,0.15,0.107,0.0,0.111,0.431
Beast Of Burden - Remastered 1994,265173,74,0.784,0.879,-3.862,100.622,0.39,0.0308,0.000848,0.0426,0.893
You,273133,73,0.412,0.876,-6.008,130.21,0.102,0.472,0.0,0.297,0.706
Heartbreak Anniversary,198370,79,0.449,0.465,-8.964,89.087,0.524,0.0791,1.02e-06,0.303,0.543
"December, 1963 (Oh What a Night!)",197146,75,0.737,0.495,-13.489,104.409,0.0588,0.027,9.12e-06,0.0542,0.967
Crazy Train,293183,75,0.454,0.913,-4.008,137.688,0.408,0.107,0.000271,0.248,0.521
Chicago,245506,78,0.608,0.756,-2.675,176.086,0.0784,0.176,0.0,0.187,0.55
