Track_Name,Track Duration (ms),Popularity,Danceability,Energy,Loudness,Tempo,Acousticness,Speechiness,Instrumentalness,Liveness,Valence
Falling,321853,0,0.331,0.138,-17.135,71.731,0.892,0.03,0.548,0.114,0.0755
Rockin' Back Inside My Heart,349066,2,0.621,0.223,-17.397,84.891,0.591,0.0278,0.00212,0.0579,0.314
Freaks,147062,1,0.345,0.941,-9.918,179.626,3.84e-05,0.0466,0.633,0.0511,0.407
ナイトクルージング,361453,1,0.52,0.771,-10.323,142.107,0.279,0.0685,0.653,0.275,0.661
ナイトクルージング,361453,2,0.508,0.83,-7.768,141.859,0.529,0.0652,0.773,0.33,0.607
I Talk to the Wind,334560,0,0.543,0.72,-13.46,131.989,0.122,0.0359,0.111,0.207,0.304
Shine On,200666,1,0.3,0.876,-4.713,134.185,0.121,0.048,0.657,0.17,0.312
Fade Into You,297160,0,0.248,0.399,-11.011,52.401,0.306,0.0283,0.00119,0.0728,0.198
Red Indians,113666,0,0.433,0.358,-15.33,146.574,0.0145,0.0286,0.871,0.295,0.152
Shareware 1,53968,0,0.489,0.541,-18.109,115.956,1.31e-05,0.447,0.0366,0.294,0.179
Falling,321853,1,0.192,0.138,-17.135,142.187,0.892,0.0315,0.553,0.114,0.0757
Dial 1,48039,4,0.461,0.181,-14.85,137.514,0.982,0.0859,0.0201,0.726,0.155
The Killing Jar - Lepidopteristic Mix / Remastered 2014,485906,1,0.729,0.769,-7.635,140.4,0.106,0.0406,0.000388,0.0755,0.916
Little By Little,218826,0,0.35,0.376,-11.822,80.293,0.566,0.035,0.00384,0.108,0.0612
Rockin' Back Inside My Heart,349066,0,0.621,0.223,-17.397,84.891,0.591,0.0278,0.00212,0.0579,0.314
Shine On,243453,2,0.444,0.787,-7.606,136.111,0.0124,0.0368,0.0318,0.367,0.22
Blood In the Ballroom,208640,0,0.537,0.904,-9.126,114.956,0.00159,0.0366,0.857,0.0436,0.202
Disenchanted - Remaster 2002,235821,1,0.482,0.854,-5.851,128.05,0.00157,0.0342,0.0,0.13,0.542
Eyes On Fire,302826,2,0.551,0.383,-10.143,144.96,0.67,0.0338,0.00183,0.125,0.367
1000 Miles,299826,0,0.483,0.811,-8.198,122.09,0.00355,0.0308,0.00574,0.154,0.585
