Track_Name,Track Duration (ms),Popularity,Danceability,Energy,Loudness,Tempo,Acousticness,Speechiness,Instrumentalness,Liveness,Valence
anything,202047,77,0.388,0.291,-12.952,83.943,0.774,0.0421,1.93e-05,0.0874,0.51
Heathens,195920,82,0.732,0.396,-9.348,90.024,0.0841,0.0286,3.58e-05,0.105,0.548
Brazil,252306,79,0.687,0.617,-5.213,121.079,0.0941,0.0287,1.27e-05,0.0898,0.665
Chamber Of Reflection,231723,80,0.538,0.557,-8.678,131.03,0.262,0.0914,0.914,0.102,0.506
Lil Boo Thang,114233,78,0.85,0.699,-3.292,114.481,0.152,0.0776,0.0,0.32,0.915
Heather,198040,83,0.357,0.425,-7.301,102.078,0.584,0.0333,0.0,0.322,0.27
Someone New,222813,74,0.443,0.533,-5.956,183.791,0.429,0.0473,3.66e-06,0.332,0.596
Almost (Sweet Music),217480,74,0.523,0.687,-5.601,90.036,0.0215,0.105,2.86e-06,0.203,0.711
Big Black Car,217466,76,0.6,0.186,-15.926,110.044,0.909,0.0317,0.00102,0.104,0.468
Northern Attitude,267256,75,0.523,0.626,-8.214,121.291,0.119,0.047,3.29e-05,0.107,0.323
Glue Song,135066,79,0.62,0.409,-10.146,113.946,0.77,0.0282,0.0542,0.105,0.582
Stressed Out,202333,83,0.734,0.637,-5.677,169.977,0.0462,0.141,2.29e-05,0.0602,0.648
Always Forever,223746,79,0.174,0.742,-5.93,163.378,0.00181,0.0485,0.281,0.198,0.36
Maine,232618,75,0.533,0.24,-9.512,175.486,0.729,0.0424,0.0,0.223,0.265
Je te laisserai des mots,160853,83,0.303,0.187,-16.757,132.679,0.989,0.0356,0.499,0.102,0.212
"Sex, Drugs, Etc.",196784,82,0.57,0.842,-5.085,143.975,0.0136,0.0381,0.00876,0.524,0.47
Change (In the House of Flies),299533,77,0.269,0.853,-4.647,141.581,0.000249,0.0854,0.000246,0.118,0.179
Kingston,202653,76,0.73,0.355,-9.13,142.143,0.154,0.0359,0.00155,0.117,0.56
Take Me Out,237026,80,0.277,0.663,-8.821,104.561,0.000409,0.0377,0.00051,0.136,0.527
My Own Summer (Shove It),214760,77,0.443,0.781,-4.277,71.841,1.33e-05,0.0377,0.205,0.166,0.372
Nose On The Grindstone (OurVinyl Sessions),204000,74,0.488,0.284,-11.039,149.952,0.735,0.0551,0.0,0.319,0.398
Everybody Talks,177280,76,0.471,0.924,-3.906,154.962,0.00301,0.0584,0.0,0.313,0.716
Alien Blues,155933,78,0.467,0.757,-5.093,82.282,0.0807,0.033,0.908,0.0876,0.433
Teenagers,161920,79,0.463,0.857,-3.063,111.647,0.0506,0.0632,0.0,0.184,0.856
It's Called: Freefall,152293,77,0.744,0.516,-6.365,97.944,0.632,0.0513,0.0,0.605,0.281
Sweet,292110,81,0.449,0.51,-9.075,96.425,0.351,0.0278,0.761,0.139,0.115
Lady May,183533,73,0.539,0.16,-13.285,81.446,0.881,0.0329,0.000268,0.105,0.322
Real Love Baby,189293,77,0.417,0.686,-6.484,204.113,0.0955,0.0373,0.0287,0.0989,0.625
Looking Out for You,179499,77,0.682,0.9,-5.028,100.721,0.0884,0.0874,0.063,0.0685,0.937
Silver Lining,199827,75,0.486,0.638,-6.231,144.458,0.000921,0.0323,0.0,0.078,0.178
Out of My League,209386,72,0.545,0.968,-3.553,169.965,0.0387,0.0853,0.00325,0.331,0.527
Sarah,176146,72,0.65,0.686,-5.198,124.019,0.513,0.0314,0.000189,0.138,0.497
Bloom - Bonus Track,210080,76,0.591,0.416,-9.794,96.003,0.882,0.0246,0.000641,0.112,0.415
No Surprises,229120,81,0.255,0.393,-10.654,76.426,0.0577,0.0278,0.00361,0.113,0.118
Picture You,187130,75,0.354,0.468,-5.415,160.586,0.4,0.0334,0.0,0.138,0.281
Sofia,188386,78,0.744,0.619,-9.805,112.997,0.598,0.039,0.00372,0.231,0.641
Notion,195120,79,0.309,0.883,-3.825,159.488,0.0673,0.0808,0.00111,0.0849,0.312
Tongue Tied,218013,76,0.56,0.936,-5.835,112.96,0.00847,0.0439,0.0,0.161,0.371
Forever,268353,74,0.394,0.256,-10.944,94.367,0.765,0.036,0.0,0.116,0.215
Be Quiet and Drive (Far Away),299866,75,0.206,0.965,-5.116,92.615,9.91e-06,0.079,0.827,0.367,0.168
The Blonde,227760,76,0.501,0.547,-7.961,87.692,0.225,0.0243,0.912,0.288,0.225
Taking What's Not Yours,205650,77,0.712,0.914,-5.675,100.406,0.65,0.101,0.0,0.0579,0.697
Let Me Down Slowly,169353,83,0.652,0.557,-5.714,150.073,0.74,0.0318,0.0,0.124,0.483
Young,189160,78,0.498,0.81,-4.065,79.935,0.00392,0.0263,0.00717,0.0635,0.594
Sleeping on the Blacktop,192480,73,0.583,0.309,-14.509,82.789,0.824,0.045,0.207,0.11,0.473
Mary,197733,71,0.693,0.467,-9.558,105.955,0.0497,0.043,0.452,0.107,0.402
Follow You To Virgie (OurVinyl Sessions),202000,72,0.566,0.325,-8.819,78.822,0.732,0.0439,0.0,0.317,0.511
Call Your Mom,278670,76,0.485,0.215,-12.124,172.122,0.703,0.0348,3.55e-06,0.115,0.159
Funny Thing,116630,75,0.586,0.893,-8.772,140.023,0.827,0.439,0.642,0.212,0.65
Orange Juice,297103,74,0.662,0.378,-10.908,120.133,0.475,0.0361,6.84e-06,0.121,0.207
Sextape,241533,75,0.367,0.634,-6.475,89.981,0.000824,0.027,0.0759,0.116,0.0964
Ride,214506,80,0.645,0.713,-5.355,74.989,0.00835,0.0393,0.0,0.113,0.566
Back On 74,209482,79,0.62,0.761,-7.282,146.003,0.207,0.175,0.000147,0.269,0.194
Rosyln,289560,75,0.329,0.277,-13.111,159.719,0.971,0.0302,0.024,0.0971,0.121
Electric Love,218106,76,0.611,0.797,-7.627,120.041,0.00543,0.0533,0.00137,0.26,0.518
Come a Little Closer,229346,72,0.44,0.778,-1.786,148.038,0.0265,0.0327,1.04e-06,0.151,0.304
Moonlight on the River,422613,75,0.662,0.478,-8.631,139.98,0.252,0.0451,0.833,0.216,0.43
Charleston Girl (Live),179720,71,0.374,0.585,-9.436,176.859,0.748,0.054,0.0,0.821,0.654
3 Nights,177666,77,0.815,0.518,-6.594,151.891,0.223,0.0897,0.0,0.104,0.877
Wait a Minute!,196520,77,0.764,0.705,-5.279,101.003,0.0371,0.0278,1.94e-05,0.0943,0.672
I Can't Handle Change,198213,77,0.247,0.438,-8.478,185.703,0.0449,0.0358,0.000942,0.111,0.391
Where'd All the Time Go?,234800,77,0.454,0.82,-4.193,166.303,0.132,0.0567,0.000969,0.115,0.575
Velvet Ring - 2023 Remaster,155938,74,0.318,0.401,-11.944,138.528,0.436,0.0337,0.00564,0.151,0.277
Motion Sickness,229760,74,0.651,0.546,-9.021,107.021,0.774,0.0357,0.0437,0.0842,0.623
Tumblr Girls (feat. Christoph Andersson),255680,77,0.49,0.373,-9.762,121.889,0.101,0.26,0.000105,0.128,0.346
Jackie and Wilson,223120,71,0.555,0.727,-4.202,82.142,0.0579,0.0388,7.52e-06,0.0937,0.739
Cherry Waves,317706,73,0.47,0.859,-3.663,124.01,0.000362,0.0537,0.00691,0.142,0.17
Float On,208466,72,0.649,0.888,-4.807,100.975,0.013,0.0293,2.23e-06,0.0888,0.553
"not a lot, just forever",250198,74,0.354,0.269,-13.242,91.608,0.885,0.0297,0.00035,0.0872,0.304
Nothing's New,211000,78,0.421,0.394,-8.312,96.192,0.863,0.0277,4.74e-06,0.0984,0.399
Oysters In My Pocket,162338,76,0.598,0.924,-4.974,168.017,0.0205,0.0623,0.799,0.17,0.611
Mr. Loverman,216880,80,0.639,0.526,-6.697,130.033,0.245,0.0256,2.43e-05,0.25,0.488
Champagne Coast,292373,70,0.813,0.406,-12.626,122.658,0.0203,0.0662,0.392,0.0757,0.755
Paper Planes,205200,75,0.447,0.848,-6.175,172.253,0.033,0.222,7.46e-05,0.65,0.485
the way things go,187800,74,0.528,0.513,-8.266,131.952,0.848,0.0306,0.0127,0.326,0.463
4EVER,159595,73,0.75,0.585,-7.576,102.331,0.049,0.0285,0.00552,0.155,0.584
Waiting Room,393962,75,0.531,0.289,-10.065,129.753,0.339,0.0286,0.000358,0.134,0.12
Like Real People Do,198026,70,0.539,0.179,-14.33,140.01,0.921,0.0309,0.393,0.106,0.145
Heavy,253213,72,0.76,0.413,-8.395,96.999,0.326,0.0307,0.745,0.0601,0.733
Flaming Hot Cheetos,123884,74,0.817,0.551,-9.33,109.966,0.865,0.133,0.000151,0.101,0.142
First Love/Late Spring,278640,76,0.445,0.543,-8.196,99.963,0.000825,0.0272,0.0137,0.202,0.102
